City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Hithadhoo,MV,83.34,broken clouds,-0.6,73.0833,Scoop Guest House
14,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
40,Hasaki,JP,78.19,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
44,Pemangkat,ID,85.17,few clouds,1.1667,108.9667,Ramah Kost KITA
46,Vaini,TO,77.9,light rain,-21.2,-175.2,Keleti Beach Resort
48,Cabo San Lucas,MX,89.82,broken clouds,22.8909,-109.9124,Tesoro Los Cabos
54,Lar,IN,86.34,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
57,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
68,Butaritari,KI,83.1,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
74,Tallahassee,US,78.64,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
76,Rikitea,PF,76.5,light rain,-23.1203,-134.9692,Pension Maro'i
86,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Kahului,US,79.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
93,Victoria,HK,89.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
94,Hobyo,SO,78.31,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
96,Ukiah,US,79.52,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
97,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
100,Iracoubo,GF,77.05,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
104,Atuona,PF,79.32,scattered clouds,-9.8,-139.0333,Villa Enata
105,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
106,Sibolga,ID,85.39,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
115,Hirara,JP,79.7,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
118,Vanimo,PG,84.65,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
119,Hilo,US,77.79,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
