City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Redlands,US,2021-05-24 21:38:23,34.0556,-117.1825,95.25,14,1,3.0
1,Ushuaia,AR,2021-05-24 21:38:23,-54.8,-68.3,31.66,93,90,27.63
2,Busselton,AU,2021-05-24 21:38:23,-33.65,115.3333,48.09,71,100,4.14
3,Jamestown,US,2021-05-24 21:33:50,42.097,-79.2353,77.29,58,90,1.99
4,Dikson,RU,2021-05-24 21:38:14,73.5069,80.5464,21.06,93,30,5.64
5,Albany,US,2021-05-24 21:35:09,42.6001,-73.9662,74.68,38,26,3.71
6,Nanortalik,GL,2021-05-24 21:38:25,60.1432,-45.2371,35.42,97,100,4.45
7,Pevek,RU,2021-05-24 21:38:25,69.7008,170.3133,32.76,85,100,3.74
8,Havre-Saint-Pierre,CA,2021-05-24 21:38:25,50.2334,-63.5986,44.96,57,1,24.16
9,Okhotsk,RU,2021-05-24 21:38:26,59.3833,143.3,40.64,71,91,2.95
10,Bambous Virieux,MU,2021-05-24 21:38:25,-20.3428,57.7575,73.65,76,40,14.52
11,Bosobolo,CD,2021-05-24 21:38:26,4.1833,19.9,72.88,82,87,2.66
12,Chernyshevsk,RU,2021-05-24 21:38:27,52.5243,117.0174,38.68,72,75,4.81
13,Yellowknife,CA,2021-05-24 21:38:24,62.456,-114.3525,42.33,36,20,5.99
14,Susanville,US,2021-05-24 21:37:53,40.4163,-120.653,73.81,25,1,10.0
15,Tuktoyaktuk,CA,2021-05-24 21:38:27,69.4541,-133.0374,32.0,93,90,5.75
16,Chute-Aux-Outardes,CA,2021-05-24 21:38:28,49.1168,-68.399,59.31,49,1,11.01
17,Bluff,NZ,2021-05-24 21:38:28,-46.6,168.3333,39.29,79,6,7.09
18,Tiksi,RU,2021-05-24 21:38:28,71.6872,128.8694,36.12,74,90,6.85
19,Hilo,US,2021-05-24 21:38:29,19.7297,-155.09,82.13,72,1,17.27
20,Kutum,SD,2021-05-24 21:38:29,14.2,24.6667,78.35,14,46,6.69
21,Harper,LR,2021-05-24 21:38:30,4.375,-7.7169,80.51,83,61,9.22
22,Mataura,NZ,2021-05-24 21:38:30,-46.1927,168.8643,36.66,82,5,2.77
23,Yermekeyevo,RU,2021-05-24 21:38:30,54.0761,53.6712,65.68,78,79,4.23
24,Vestmannaeyjar,IS,2021-05-24 21:38:31,63.4427,-20.2734,45.59,76,40,19.57
25,Shimoda,JP,2021-05-24 21:38:31,34.6667,138.95,67.15,80,96,4.59
26,Punta Arenas,CL,2021-05-24 21:35:39,-53.15,-70.9167,35.71,74,40,22.5
27,Atuona,PF,2021-05-24 21:38:32,-9.8,-139.0333,80.29,75,14,17.6
28,Clemson,US,2021-05-24 21:38:32,34.6834,-82.8374,92.08,37,20,3.44
29,Eshowe,ZA,2021-05-24 21:38:33,-28.8865,31.4699,52.09,82,0,4.76
